Bank,Beta,Beta_adjusted,Delta_CoVar,Delta_Weighted_CoVar,Weight,Weight_Effect
HDFCBANK,0.818075025,0.757561656,-0.041649323,-0.038568504,0.2496,-0.003080819
FEDERALBNK,0.483434697,0.475610329,-0.033930283,-0.033381123,0.01492,-0.00054916
AXISBANK,0.506985435,0.459591502,-0.03399159,-0.030813993,0.0877,-0.003177596
ICICIBANK,0.673593789,0.59394377,-0.033279226,-0.029344078,0.19616,-0.003935148
INDUSINDBANK,0.398931712,0.390613524,-0.02953874,-0.028922823,0.01365,-0.000615917
BANKBARODA,0.322637674,0.302198522,-0.027955544,-0.026184555,0.02929,-0.001770988
CANBK,0.328334457,0.310121664,-0.027428719,-0.025907241,0.0264,-0.001521478
SBIN,0.543642444,0.42233264,-0.032104614,-0.024940706,0.21,-0.007163908
KOTAKBANK,0.503234245,0.462253368,-0.026525214,-0.024365134,0.07621,-0.002160081
IDFCFIRSTB,0.330968462,0.322876828,-0.024425736,-0.023828567,0.01195,-0.000597169
PNB,0.311911433,0.292926384,-0.024907929,-0.023391863,0.02685,-0.001516066
AUBANK,0.285521765,0.27355731,-0.023166947,-0.022196163,0.01647,-0.000970784
UNIONBANK,0.282507221,0.261899419,-0.023187422,-0.02149599,0.02792,-0.001691432
YESBANK,0.18911857,0.17855483,-0.014194941,-0.013402043,0.01286,-0.000792898
